Postcode,Latitude,Longitude,Terminated,Population,Households,Built Up Area
NN9 5EF,52.329749,-0.61719,,10,4,Irthlingborough
NN9 5EG,52.329955,-0.617125,,22,12,Irthlingborough
NN9 5EH,52.339131,-0.647442,,58,24,Finedon
NN9 5EJ,52.337231,-0.644843,,140,55,Finedon
NN9 5EL,52.340182,-0.647073,,72,29,Finedon
NN9 5EN,52.340032,-0.645742,,66,26,Finedon
NN9 5EP,52.330459,-0.616449,,123,43,Irthlingborough
NN9 5EQ,52.329347,-0.615133,,63,28,Irthlingborough
NN9 5ER,52.340731,-0.643123,,24,10,Finedon
NN9 5ES,52.339914,-0.644014,,109,37,Finedon
NN9 5ET,52.339817,-0.643444,,86,37,Finedon
NN9 5EU,52.338303,-0.645443,,16,7,Finedon
NN9 5EW,52.340062,-0.645169,,121,58,Finedon
NN9 5EX,52.33846,-0.645042,,26,14,Finedon
NN9 5EY,52.339738,-0.642771,,7,4,Finedon
NN9 5EZ,52.339325,-0.642828,,84,45,Finedon
NN9 5FB,52.316336,-0.618855,,31,13,Irthlingborough
NN9 5FD,52.326462,-0.613697,,27,16,Irthlingborough
NN9 5FE,52.325856,-0.61646,,24,17,Irthlingborough
NN9 5FF,52.339075,-0.599094,,20,13,Crow Hill Housing Estate
NN9 5FG,52.324065,-0.619377,,26,19,Irthlingborough
NN9 5FH,52.337194,-0.721344,,4,1,Little Harrowden
NN9 5FJ,52.336598,-0.652834,,13,13,Finedon
NN9 5FL,52.336728,-0.653167,,12,11,Finedon
NN9 5GB,52.33189,-0.616507,,43,15,Irthlingborough
NN9 5GD,52.330316,-0.617994,,39,14,Irthlingborough
NN9 5GE,52.331957,-0.617635,,67,20,Irthlingborough
NN9 5GG,52.317359,-0.621024,,31,15,Irthlingborough
NN9 5GH,52.316706,-0.622027,,18,8,Irthlingborough
NN9 5GL,52.319673,-0.752367,,8,2,
NN9 5HA,52.339106,-0.642571,,110,48,Finedon
NN9 5HB,52.337684,-0.64326,,99,42,Finedon
NN9 5HD,52.337212,-0.643641,,54,23,Finedon
NN9 5HE,52.317947,-0.616663,,82,35,Irthlingborough
NN9 5HG,52.31794,-0.618394,,39,17,Irthlingborough
NN9 5HL,52.343967,-0.643875,,10,4,
NN9 5HN,52.354304,-0.626848,,9,3,
NN9 5HS,52.339301,-0.654468,,6,4,Finedon
NN9 5HT,52.340369,-0.658737,,19,7,Finedon
NN9 5HU,52.338472,-0.65238,,28,18,Finedon
NN9 5HW,52.369474,-0.624425,,18,6,
NN9 5HX,52.34185,-0.650882,,55,26,Finedon
NN9 5HZ,52.317366,-0.616945,,43,19,Irthlingborough
NN9 5JA,52.341116,-0.651654,,80,42,Finedon
NN9 5JB,52.34075,-0.654293,,95,43,Finedon
NN9 5JD,52.340541,-0.652479,,38,16,Finedon
NN9 5JE,52.340392,-0.65357,,50,25,Finedon
NN9 5JG,52.339624,-0.65487,,143,60,Finedon
NN9 5JH,52.3396,-0.658305,,28,16,Finedon
NN9 5JJ,52.339442,-0.659396,,27,11,Finedon
NN9 5JL,52.338902,-0.658605,,37,16,Finedon
NN9 5JN,52.338965,-0.655374,,102,44,Finedon
NN9 5JP,52.338352,-0.654439,,80,41,Finedon
NN9 5JQ,52.340168,-0.657598,,26,11,Finedon
NN9 5JR,52.339109,-0.65098,,8,4,Finedon
NN9 5JS,52.33843,-0.651882,,54,28,Finedon
NN9 5JT,52.337563,-0.65182,,38,15,Finedon
NN9 5JW,52.338662,-0.654062,,3,1,Finedon
NN9 5JX,52.33787,-0.654806,,18,13,Finedon
NN9 5JY,52.338835,-0.659767,,18,7,Finedon
NN9 5JZ,52.340044,-0.654637,,5,3,Finedon
NN9 5LA,52.324851,-0.616624,,119,51,Irthlingborough
NN9 5LB,52.318529,-0.618024,,24,7,Irthlingborough
NN9 5LD,52.318122,-0.619372,,53,20,Irthlingborough
